"Story","Title","Result","Date","Stability","Duration (s)"
"Yo como usuario quiero obtener la información de mis fotos.","Consulta exitosa","SUCCESS","2021-10-24T13:10:18.427-05:00[America/Bogota]","0.0","5.5"
"Yo como usuario quiero obtener la información de mis fotos.","Consulta título","SUCCESS","2021-10-24T13:10:23.936-05:00[America/Bogota]","0.0","1.09"
