"Story","Title","Result","Date","Stability","Duration (s)"
"Yo como usuario quiero obtener la información de mis fotos.","Consulta exitosa","SUCCESS","2021-10-24T10:33:18.318-05:00[America/Bogota]","0.0","6.78"
"Yo como usuario quiero obtener la información de mis fotos.","Verificar título","SUCCESS","2021-10-24T10:33:25.133-05:00[America/Bogota]","0.0","1.38"
